frequency_kHz,TS_dB,model,bubble_diameter_m
1.1940377026014364,-82.7361940595698,Modal,
1.198280248952309,-82.6700676806298,Modal,
1.2025378695336686,-82.6039068108555,Modal,
1.2068106179059024,-82.5377111683279,Modal,
1.2110985478197034,-82.4714804685221,Modal,
1.2154017132167467,-82.4052144243095,Modal,
1.2197201682303678,-82.3389127459214,Modal,
1.2240539671862445,-82.2725751409176,Modal,
1.2284031646030789,-82.2062013141643,Modal,
1.2327678151932844,-82.1397909677785,Modal,
1.2371479738636737,-82.0733438011381,Modal,
1.241543695716149,-82.0068595108265,Modal,
1.2459550360483962,-81.9403377905955,Modal,
1.250382050354579,-81.873778331374,Modal,
1.2548247943260389,-81.8071808211714,Modal,
1.2592833238519943,-81.7405449450944,Modal,
1.2637576950202438,-81.6738703853273,Modal,
1.268247964117873,-81.6071568210359,Modal,
1.2727541876319606,-81.5404039284005,Modal,
1.2772764222502908,-81.4736113805375,Modal,
1.2818147248620655,-81.4067788474875,Modal,
1.2863691525586198,-81.3399059961635,Modal,
1.2909397626341412,-81.2729924903506,Modal,
1.2955266125863893,-81.2060379906277,Modal,
1.3001297601174193,-81.1390421543537,Modal,
1.3047492631343087,-81.0720046356238,Modal,
1.3093851797498846,-81.0049250852414,Modal,
1.3140375682834555,-80.9378031506739,Modal,
1.3187064872615453,-80.8706384760033,Modal,
1.323391995418628,-80.8034307019145,Modal,
1.3280941516978686,-80.7361794656328,Modal,
1.3328130152518627,-80.6688844008949,Modal,
1.3375486454433825,-80.6015451378898,Modal,
1.3423011018461217,-80.5341613032539,Modal,
1.3470704442454466,-80.4667325199991,Modal,
1.3518567326391469,-80.3992584074736,Modal,
1.356660027238191,-80.3317385813388,Modal,
1.361480388467484,-80.2641726534966,Modal,
1.3663178769666267,-80.1965602320654,Modal,
1.3711725535906794,-80.1289009213473,Modal,
1.3760444794109266,-80.0611943217343,Modal,
1.3809337157156465,-79.9934400297149,Modal,
1.3858403240108803,-79.9256376378115,Modal,
1.3907643660212077,-79.8577867345101,Modal,
1.3957059036905224,-79.7898869042367,Modal,
1.400664999182811,-79.7219377273059,Modal,
1.405641714882936,-79.6539387798606,Modal,
1.4106361133974203,-79.5858896338309,Modal,
1.415648257555234,-79.5177898568814,Modal,
1.4206782104085862,-79.4496390123492,Modal,
1.4257260352337164,-79.3814366592171,Modal,
1.4307917955316924,-79.3131823520235,Modal,
1.4358755550292077,-79.244875640838,Modal,
1.4409773776793837,-79.1765160711941,Modal,
1.4460973276625746,-79.1081031840357,Modal,
